Academic_Year,Institution_Type_EN,Campus_Zone_EN,LocalFlag_EN,Gender_EN,Bachelors,Certificate,Diploma,Doctorate,Graduate Diploma,Higher Diploma,Masters, Total
2015,Non-Federal,Dubai,Expat,Female,"1,209",16,53,2,18,36,459," 1,793 "
2015,Non-Federal,Dubai,Expat,Male,725,40,119,2,80,92,576," 1,634 "
2015,Non-Federal,Dubai,Local,Female,310,6,11,7,80,3,332, 749 
2015,Non-Federal,Dubai,Local,Male,"1,006",6,37,1,80,40,709," 1,879 "
2015,Non-Federal,Fujairah,Expat,Female,89,6,55,8,252,40,132, 582 
2015,Non-Federal,Fujairah,Expat,Male,37,19,55,8,80,40,57, 296 
2015,Non-Federal,Fujairah,Local,Female,103,19,1,8,80,40,57, 308 
2015,Non-Federal,Fujairah,Local,Male,99,19,55,8,18,40,132, 371 
2015,Non-Federal,Ras Al Khaimah,Expat,Female,168,6,14,8,80,40,9, 325 
2015,Non-Federal,Ras Al Khaimah,Expat,Male,67,6,14,8,80,40,3, 218 
2015,Non-Federal,Ras Al Khaimah,Local,Female,46,6,14,8,18,40,16, 148 
2015,Non-Federal,Ras Al Khaimah,Local,Male,15,6,55,8,18,40,1, 143 
2015,Non-Federal,Sharjah,Expat,Female,"1,184",6,51,8,80,40,87," 1,456 "
2015,Non-Federal,Sharjah,Expat,Male,925,19,16,8,80,40,119," 1,207 "
2015,Non-Federal,Sharjah,Local,Female,807,19,50,2,80,40,128," 1,126 "
2015,Non-Federal,Sharjah,Local,Male,356,19,11,5,18,40,131, 580 
2015,Non-Federal,Umm Al Quwain,Local,Female,2,19,55,8,18,40,132, 274 
2015,Non-Federal,Umm Al Quwain,Local,Male,1,19,55,8,18,40,132, 273 
2016,Federal,Abu Dhabi,Expat,Female,403,19,6,5,80,40,81, 634 
2016,Federal,Abu Dhabi,Expat,Male,194,19,55,4,80,40,62, 454 
2016,Federal,Abu Dhabi,Local,Female,"2,211",19,146,6,80,4,225," 2,691 "
2016,Federal,Abu Dhabi,Local,Male,729,19,39,3,18,19,122, 949 
2016,Federal,Dubai,Expat,Female,16,6,55,8,80,40,6, 211 
2016,Federal,Dubai,Expat,Male,8,6,1,8,18,40,4, 85 
2016,Federal,Dubai,Local,Female,908,6,25,8,80,1,18," 1,046 "
2016,Federal,Dubai,Local,Male,394,6,13,8,80,12,5, 518 
2016,Federal,Fujairah,Local,Female,169,6,26,8,80,16,8, 313 
2016,Federal,Fujairah,Local,Male,57,6,28,8,18,40,132, 289 
2016,Federal,Ras Al Khaimah,Local,Female,189,19,45,8,18,40,5, 324 
2016,Federal,Ras Al Khaimah,Local,Male,68,19,48,8,80,40,3, 266 
2016,Federal,Sharjah,Expat,Female,1,19,1,8,80,40,132, 281 
2016,Federal,Sharjah,Local,Female,288,19,29,8,80,2,132, 558 
