Academic_Year,Institution_Type_EN,Campus_Zone_EN,LocalFlag_EN,Gender_EN,Bachelors,Certificate,Diploma,Doctorate,Graduate Diploma,Higher Diploma,Masters, Total 
2013,Non-Federal,Sharjah,Expat,Male,744,19,2,8,80,40,88,981
2013,Non-Federal,Sharjah,Local,Female,611,19,51,8,80,40,92,901
2013,Non-Federal,Sharjah,Local,Male,286,19,14,8,80,40,160,607
2014,Federal,Abu Dhabi,Expat,Female,249,19,55,11,80,40,82,536
2014,Federal,Abu Dhabi,Expat,Male,164,19,3,2,80,40,73,381
2014,Federal,Abu Dhabi,Local,Female,1848,19,92,4,80,182,310,2535
2014,Federal,Abu Dhabi,Local,Male,948,19,136,8,80,189,177,1557
2014,Federal,Dubai,Expat,Female,8,19,55,8,80,40,4,214
2014,Federal,Dubai,Expat,Male,1,19,55,8,80,40,5,208
2014,Federal,Dubai,Local,Female,826,19,14,8,80,79,30,1056
2014,Federal,Dubai,Local,Male,438,19,14,8,80,100,38,697
2014,Federal,Fujairah,Local,Female,158,19,20,8,80,10,6,301
2014,Federal,Fujairah,Local,Male,24,19,6,8,80,40,1,178
2014,Federal,Ras Al Khaimah,Local,Female,116,19,11,8,80,18,8,260
2014,Federal,Ras Al Khaimah,Local,Male,67,19,9,8,80,10,1,194
2014,Federal,Sharjah,Local,Female,354,19,10,8,80,45,2,518
2014,Federal,Sharjah,Local,Male,91,19,6,8,80,16,1,221
2014,Federal,Abu Dhabi,Expat,Female,424,19,55,8,80,40,1,627
2014,Federal,Abu Dhabi,Local,Female,1,19,55,8,80,40,3,206
2014,Federal,Abu Dhabi,Local,Male,4,19,55,8,80,40,132,338
2014,Non-Federal,Abu Dhabi,Expat,Female,668,19,294,8,799,40,87,1915
2014,Non-Federal,Abu Dhabi,Expat,Male,514,1,182,8,77,40,138,960
2014,Non-Federal,Abu Dhabi,Local,Female,627,1,396,8,48,3,176,1259
2014,Non-Federal,Abu Dhabi,Local,Male,1036,10,478,8,53,64,174,1823
2014,Non-Federal,Ajman,Expat,Female,538,19,55,8,51,40,21,732
2014,Non-Federal,Ajman,Expat,Male,473,19,55,8,6,40,10,611
2014,Non-Federal,Ajman,Local,Female,186,19,55,8,80,40,15,403
2014,Non-Federal,Ajman,Local,Male,195,19,55,8,80,40,7,404
2014,Non-Federal,Dubai,Expat,Female,1183,19,51,4,4,15,428,1704
2014,Non-Federal,Dubai,Expat,Male,891,1,68,8,3,56,553,1580
2014,Non-Federal,Dubai,Local,Female,472,1,12,5,1,40,365,896
2014,Non-Federal,Dubai,Local,Male,1239,4,22,1,1,5,1030,2302
2014,Non-Federal,Fujairah,Expat,Female,63,19,55,8,172,40,132,489
2014,Non-Federal,Fujairah,Expat,Male,46,19,55,8,80,40,132,380
2014,Non-Federal,Fujairah,Local,Female,138,19,55,8,1,40,132,393
2014,Non-Federal,Fujairah,Local,Male,121,19,55,8,80,40,132,455
2014,Non-Federal,Ras Al Khaimah,Expat,Female,312,19,55,8,80,40,15,529
2014,Non-Federal,Ras Al Khaimah,Expat,Male,136,19,55,8,80,40,3,341
2014,Non-Federal,Ras Al Khaimah,Local,Female,141,19,55,8,80,40,7,350
2014,Non-Federal,Ras Al Khaimah,Local,Male,22,19,55,8,80,40,132,356
2014,Non-Federal,Sharjah,Expat,Female,727,19,109,8,3,40,51,957
2014,Non-Federal,Sharjah,Expat,Male,539,19,55,8,80,40,80,821
2014,Non-Federal,Sharjah,Local,Female,608,19,61,1,80,40,103,912
2014,Non-Federal,Sharjah,Local,Male,291,19,16,1,80,40,140,587
2015,Federal,Abu Dhabi,Expat,Female,277,19,3,9,80,2,85,475
2015,Federal,Abu Dhabi,Expat,Male,149,19,1,5,80,1,83,338
2015,Federal,Abu Dhabi,Local,Female,1843,20,166,6,80,113,298,2526
